policy_type,threshold,action_delay,timeout,score_point_s,score_mode,cutoff_rate,mean_latency,timeout_rate,detect_rate,f1,n_hold_spans,n_eot_spans,is_pareto
model,0.84,0.8,3.5,0.2,score_point,0.0014184397163120568,2.1500000000000004,0.5,0.5,0.6655574043261232,705,400,True
model,0.84,0.9,3.5,0.2,score_point,0.0014184397163120568,2.2,0.5,0.5,0.6655574043261232,705,400,False
model,0.84,1.0,3.5,0.2,score_point,0.0014184397163120568,2.25,0.5,0.5,0.6655574043261232,705,400,False
model,0.85,0.8,3.5,0.2,score_point,0.0014184397163120568,2.258,0.54,0.46,0.629059829059829,705,400,False
model,0.85,0.9,3.5,0.2,score_point,0.0014184397163120568,2.304,0.54,0.46,0.629059829059829,705,400,False
model,0.86,0.8,3.5,0.2,score_point,0.0014184397163120568,2.3457500000000002,0.5725,0.4275,0.5979020979020979,705,400,False
model,0.85,1.0,3.5,0.2,score_point,0.0014184397163120568,2.35,0.54,0.46,0.629059829059829,705,400,False
model,0.86,0.9,3.5,0.2,score_point,0.0014184397163120568,2.3884999999999996,0.5725,0.4275,0.5979020979020979,705,400,False
model,0.86,1.0,3.5,0.2,score_point,0.0014184397163120568,2.43125,0.5725,0.4275,0.5979020979020979,705,400,False
model,0.87,0.8,3.5,0.2,score_point,0.0014184397163120568,2.45375,0.6125,0.3875,0.5575539568345325,705,400,False
model,0.87,0.9,3.5,0.2,score_point,0.0014184397163120568,2.4925,0.6125,0.3875,0.5575539568345325,705,400,False
model,0.87,1.0,3.5,0.2,score_point,0.0014184397163120568,2.53125,0.6125,0.3875,0.5575539568345325,705,400,False
model,0.88,0.8,3.5,0.2,score_point,0.0014184397163120568,2.5752500000000005,0.6575,0.3425,0.5092936802973979,705,400,False
model,0.88,0.9,3.5,0.2,score_point,0.0014184397163120568,2.6094999999999997,0.6575,0.3425,0.5092936802973979,705,400,False
model,0.88,1.0,3.5,0.2,score_point,0.0014184397163120568,2.64375,0.6575,0.3425,0.5092936802973979,705,400,False
model,0.89,0.8,3.5,0.2,score_point,0.0014184397163120568,2.66975,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.89,0.9,3.5,0.2,score_point,0.0014184397163120568,2.7005,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.89,1.0,3.5,0.2,score_point,0.0014184397163120568,2.73125,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.9,0.8,3.5,0.2,score_point,0.0014184397163120568,2.7507500000000005,0.7225,0.2775,0.43359375,705,400,False
model,0.9,0.9,3.5,0.2,score_point,0.0014184397163120568,2.7784999999999997,0.7225,0.2775,0.43359375,705,400,False
model,0.9,1.0,3.5,0.2,score_point,0.0014184397163120568,2.80625,0.7225,0.2775,0.43359375,705,400,False
model,0.91,0.8,3.5,0.2,score_point,0.0014184397163120568,2.8520000000000003,0.76,0.24,0.386317907444668,705,400,False
model,0.91,0.9,3.5,0.2,score_point,0.0014184397163120568,2.8760000000000003,0.76,0.24,0.386317907444668,705,400,False
model,0.92,0.5,3.5,0.2,score_point,0.0014184397163120568,2.8775,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.92,0.6,3.5,0.2,score_point,0.0014184397163120568,2.8982500000000004,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.91,1.0,3.5,0.2,score_point,0.0014184397163120568,2.9,0.76,0.24,0.386317907444668,705,400,False
model,0.92,0.7,3.5,0.2,score_point,0.0014184397163120568,2.9189999999999996,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.92,0.8,3.5,0.2,score_point,0.0014184397163120568,2.93975,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.92,0.9,3.5,0.2,score_point,0.0014184397163120568,2.9604999999999997,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.93,0.5,3.5,0.2,score_point,0.0014184397163120568,2.975,0.825,0.175,0.29723991507430997,705,400,False
model,0.92,1.0,3.5,0.2,score_point,0.0014184397163120568,2.98125,0.7925,0.2075,0.3429752066115702,705,400,False
model,0.93,0.6,3.5,0.2,score_point,0.0014184397163120568,2.9925,0.825,0.175,0.29723991507430997,705,400,False
model,0.93,0.7,3.5,0.2,score_point,0.0014184397163120568,3.01,0.825,0.175,0.29723991507430997,705,400,False
model,0.93,0.8,3.5,0.2,score_point,0.0014184397163120568,3.0275,0.825,0.175,0.29723991507430997,705,400,False
model,0.93,0.9,3.5,0.2,score_point,0.0014184397163120568,3.045,0.825,0.175,0.29723991507430997,705,400,False
model,0.93,1.0,3.5,0.2,score_point,0.0014184397163120568,3.0625,0.825,0.175,0.29723991507430997,705,400,False
model,0.94,0.5,3.5,0.2,score_point,0.0014184397163120568,3.125,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.6,3.5,0.2,score_point,0.0014184397163120568,3.1375,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.7,3.5,0.2,score_point,0.0014184397163120568,3.15,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.8,3.5,0.2,score_point,0.0014184397163120568,3.1625,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.9,3.5,0.2,score_point,0.0014184397163120568,3.175,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,1.0,3.5,0.2,score_point,0.0014184397163120568,3.1875,0.875,0.125,0.22172949002217293,705,400,False
model,0.95,0.2,3.5,0.2,score_point,0.0014184397163120568,3.3020000000000005,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.3,3.5,0.2,score_point,0.0014184397163120568,3.3079999999999994,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.4,3.5,0.2,score_point,0.0014184397163120568,3.3139999999999996,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.5,3.5,0.2,score_point,0.0014184397163120568,3.32,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.6,3.5,0.2,score_point,0.0014184397163120568,3.326,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.7,3.5,0.2,score_point,0.0014184397163120568,3.3320000000000003,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.8,3.5,0.2,score_point,0.0014184397163120568,3.3379999999999996,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,0.9,3.5,0.2,score_point,0.0014184397163120568,3.344,0.94,0.06,0.11294117647058823,705,400,False
model,0.95,1.0,3.5,0.2,score_point,0.0014184397163120568,3.35,0.94,0.06,0.11294117647058823,705,400,False
model,0.96,0.2,3.5,0.2,score_point,0.0014184397163120568,3.39275,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.3,3.5,0.2,score_point,0.0014184397163120568,3.3960000000000004,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.4,3.5,0.2,score_point,0.0014184397163120568,3.3992500000000003,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.5,3.5,0.2,score_point,0.0014184397163120568,3.4025,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.6,3.5,0.2,score_point,0.0014184397163120568,3.40575,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.7,3.5,0.2,score_point,0.0014184397163120568,3.409,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.8,3.5,0.2,score_point,0.0014184397163120568,3.4122500000000002,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,0.9,3.5,0.2,score_point,0.0014184397163120568,3.4155,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.96,1.0,3.5,0.2,score_point,0.0014184397163120568,3.41875,0.9675,0.0325,0.06280193236714976,705,400,False
model,0.97,0.2,3.5,0.2,score_point,0.0014184397163120568,3.4339999999999997,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.3,3.5,0.2,score_point,0.0014184397163120568,3.4360000000000004,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.4,3.5,0.2,score_point,0.0014184397163120568,3.438,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.5,3.5,0.2,score_point,0.0014184397163120568,3.44,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.6,3.5,0.2,score_point,0.0014184397163120568,3.4419999999999997,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.7,3.5,0.2,score_point,0.0014184397163120568,3.444,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.8,3.5,0.2,score_point,0.0014184397163120568,3.446,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.9,3.5,0.2,score_point,0.0014184397163120568,3.448,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,1.0,3.5,0.2,score_point,0.0014184397163120568,3.45,0.98,0.02,0.039119804400977995,705,400,False
model,0.98,0.2,3.5,0.2,score_point,0.0014184397163120568,3.49175,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.3,3.5,0.2,score_point,0.0014184397163120568,3.492,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.4,3.5,0.2,score_point,0.0014184397163120568,3.4922500000000003,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.5,3.5,0.2,score_point,0.0014184397163120568,3.4925,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.6,3.5,0.2,score_point,0.0014184397163120568,3.4927499999999996,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.7,3.5,0.2,score_point,0.0014184397163120568,3.4930000000000003,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.8,3.5,0.2,score_point,0.0014184397163120568,3.4932499999999997,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,0.9,3.5,0.2,score_point,0.0014184397163120568,3.4935,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.98,1.0,3.5,0.2,score_point,0.0014184397163120568,3.49375,0.9975,0.0025,0.0049751243781094535,705,400,False
model,0.99,0.2,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.2,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.3,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.3,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.4,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.4,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.5,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.5,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.6,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.6,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.7,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.7,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.8,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.8,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.9,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.9,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,1.0,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,1.0,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.76,0.8,3.5,0.2,score_point,0.0028368794326241137,1.6910000000000003,0.33,0.67,0.8,705,400,True
model,0.77,0.8,3.5,0.2,score_point,0.0028368794326241137,1.7180000000000002,0.34,0.66,0.7927927927927929,705,400,False
model,0.76,0.9,3.5,0.2,score_point,0.0028368794326241137,1.7579999999999998,0.33,0.67,0.8,705,400,False
model,0.78,0.8,3.5,0.2,score_point,0.0028368794326241137,1.7585000000000002,0.355,0.645,0.7818181818181819,705,400,False
model,0.77,0.9,3.5,0.2,score_point,0.0028368794326241137,1.7839999999999998,0.34,0.66,0.7927927927927929,705,400,False
model,0.79,0.8,3.5,0.2,score_point,0.0028368794326241137,1.7990000000000004,0.37,0.63,0.7706422018348625,705,400,False
model,0.78,0.9,3.5,0.2,score_point,0.0028368794326241137,1.8229999999999997,0.355,0.645,0.7818181818181819,705,400,False
model,0.76,1.0,3.5,0.2,score_point,0.0028368794326241137,1.825,0.33,0.67,0.8,705,400,False
model,0.77,1.0,3.5,0.2,score_point,0.0028368794326241137,1.85,0.34,0.66,0.7927927927927929,705,400,False
model,0.79,0.9,3.5,0.2,score_point,0.0028368794326241137,1.8619999999999999,0.37,0.63,0.7706422018348625,705,400,False
model,0.8,0.8,3.5,0.2,score_point,0.0028368794326241137,1.8800000000000003,0.4,0.6,0.7476635514018692,705,400,False
model,0.78,1.0,3.5,0.2,score_point,0.0028368794326241137,1.8875,0.355,0.645,0.7818181818181819,705,400,False
model,0.79,1.0,3.5,0.2,score_point,0.0028368794326241137,1.925,0.37,0.63,0.7706422018348625,705,400,False
model,0.8,0.9,3.5,0.2,score_point,0.0028368794326241137,1.94,0.4,0.6,0.7476635514018692,705,400,False
model,0.81,0.8,3.5,0.2,score_point,0.0028368794326241137,1.9407500000000004,0.4225,0.5775,0.7298578199052134,705,400,False
model,0.81,0.9,3.5,0.2,score_point,0.0028368794326241137,1.9985,0.4225,0.5775,0.7298578199052134,705,400,False
model,0.8,1.0,3.5,0.2,score_point,0.0028368794326241137,2.0,0.4,0.6,0.7476635514018692,705,400,False
model,0.82,0.8,3.5,0.2,score_point,0.0028368794326241137,2.0082500000000003,0.4475,0.5525,0.709470304975923,705,400,False
model,0.81,1.0,3.5,0.2,score_point,0.0028368794326241137,2.05625,0.4225,0.5775,0.7298578199052134,705,400,False
model,0.82,0.9,3.5,0.2,score_point,0.0028368794326241137,2.0634999999999994,0.4475,0.5525,0.709470304975923,705,400,False
model,0.83,0.8,3.5,0.2,score_point,0.0028368794326241137,2.0825000000000005,0.475,0.525,0.6862745098039217,705,400,False
model,0.84,0.7,3.5,0.2,score_point,0.0028368794326241137,2.0999999999999996,0.5,0.5,0.6644518272425249,705,400,False
model,0.82,1.0,3.5,0.2,score_point,0.0028368794326241137,2.11875,0.4475,0.5525,0.709470304975923,705,400,False
model,0.83,0.9,3.5,0.2,score_point,0.0028368794326241137,2.135,0.475,0.525,0.6862745098039217,705,400,False
model,0.83,1.0,3.5,0.2,score_point,0.0028368794326241137,2.1875,0.475,0.525,0.6862745098039217,705,400,False
model,0.85,0.7,3.5,0.2,score_point,0.0028368794326241137,2.2119999999999997,0.54,0.46,0.6279863481228669,705,400,False
model,0.86,0.7,3.5,0.2,score_point,0.0028368794326241137,2.303,0.5725,0.4275,0.5968586387434555,705,400,False
model,0.87,0.7,3.5,0.2,score_point,0.0028368794326241137,2.415,0.6125,0.3875,0.5565529622980251,705,400,False
model,0.88,0.7,3.5,0.2,score_point,0.0028368794326241137,2.5409999999999995,0.6575,0.3425,0.5083487940630798,705,400,False
model,0.89,0.7,3.5,0.2,score_point,0.0028368794326241137,2.639,0.6925,0.3075,0.4685714285714286,705,400,False
model,0.9,0.7,3.5,0.2,score_point,0.0028368794326241137,2.7229999999999994,0.7225,0.2775,0.4327485380116959,705,400,False
model,0.91,0.5,3.5,0.2,score_point,0.0028368794326241137,2.78,0.76,0.24,0.38554216867469876,705,400,False
model,0.91,0.6,3.5,0.2,score_point,0.0028368794326241137,2.8040000000000003,0.76,0.24,0.38554216867469876,705,400,False
model,0.91,0.7,3.5,0.2,score_point,0.0028368794326241137,2.8279999999999994,0.76,0.24,0.38554216867469876,705,400,False
model,0.92,0.3,3.5,0.2,score_point,0.0028368794326241137,2.8360000000000003,0.7925,0.2075,0.3422680412371134,705,400,False
model,0.92,0.4,3.5,0.2,score_point,0.0028368794326241137,2.8567499999999995,0.7925,0.2075,0.3422680412371134,705,400,False
model,0.93,0.3,3.5,0.2,score_point,0.0028368794326241137,2.94,0.825,0.175,0.2966101694915254,705,400,False
model,0.93,0.4,3.5,0.2,score_point,0.0028368794326241137,2.9575,0.825,0.175,0.2966101694915254,705,400,False
model,0.94,0.2,3.5,0.2,score_point,0.0028368794326241137,3.0875,0.875,0.125,0.22123893805309733,705,400,False
model,0.94,0.3,3.5,0.2,score_point,0.0028368794326241137,3.1,0.875,0.125,0.22123893805309733,705,400,False
model,0.94,0.4,3.5,0.2,score_point,0.0028368794326241137,3.1125,0.875,0.125,0.22123893805309733,705,400,False
model,0.74,0.8,3.5,0.2,score_point,0.00425531914893617,1.5897500000000002,0.2925,0.7075,0.825072886297376,705,400,True
model,0.75,0.8,3.5,0.2,score_point,0.00425531914893617,1.6235000000000002,0.305,0.695,0.8164464023494861,705,400,False
model,0.76,0.7,3.5,0.2,score_point,0.00425531914893617,1.6239999999999997,0.33,0.67,0.7988077496274218,705,400,False
model,0.77,0.7,3.5,0.2,score_point,0.00425531914893617,1.652,0.34,0.66,0.7916041979010495,705,400,False
model,0.74,0.9,3.5,0.2,score_point,0.00425531914893617,1.6605,0.2925,0.7075,0.825072886297376,705,400,False
model,0.75,0.9,3.5,0.2,score_point,0.00425531914893617,1.6929999999999998,0.305,0.695,0.8164464023494861,705,400,False
model,0.78,0.7,3.5,0.2,score_point,0.00425531914893617,1.6939999999999997,0.355,0.645,0.7806354009077157,705,400,False
model,0.74,1.0,3.5,0.2,score_point,0.00425531914893617,1.73125,0.2925,0.7075,0.825072886297376,705,400,False
model,0.79,0.7,3.5,0.2,score_point,0.00425531914893617,1.7359999999999998,0.37,0.63,0.7694656488549619,705,400,False
model,0.75,1.0,3.5,0.2,score_point,0.00425531914893617,1.7625,0.305,0.695,0.8164464023494861,705,400,False
model,0.8,0.7,3.5,0.2,score_point,0.00425531914893617,1.8199999999999996,0.4,0.6,0.7465007776049766,705,400,False
model,0.81,0.7,3.5,0.2,score_point,0.00425531914893617,1.8829999999999998,0.4225,0.5775,0.7287066246056781,705,400,False
model,0.82,0.7,3.5,0.2,score_point,0.00425531914893617,1.9529999999999998,0.4475,0.5525,0.7083333333333334,705,400,False
model,0.83,0.7,3.5,0.2,score_point,0.00425531914893617,2.0299999999999994,0.475,0.525,0.6851549755301795,705,400,False
