policy_type,threshold,action_delay,timeout,score_point_s,score_mode,cutoff_rate,mean_latency,timeout_rate,detect_rate,f1,n_hold_spans,n_eot_spans,is_pareto
model,0.89,0.8,3.5,0.2,score_point,0.0014184397163120568,2.4672500000000004,0.6175,0.3825,0.5523465703971119,705,400,True
model,0.89,0.9,3.5,0.2,score_point,0.0014184397163120568,2.5055,0.6175,0.3825,0.5523465703971119,705,400,False
model,0.89,1.0,3.5,0.2,score_point,0.0014184397163120568,2.54375,0.6175,0.3825,0.5523465703971119,705,400,False
model,0.9,0.8,3.5,0.2,score_point,0.0014184397163120568,2.561750000000001,0.6525,0.3475,0.5148148148148148,705,400,False
model,0.9,0.9,3.5,0.2,score_point,0.0014184397163120568,2.5965,0.6525,0.3475,0.5148148148148148,705,400,False
model,0.9,1.0,3.5,0.2,score_point,0.0014184397163120568,2.63125,0.6525,0.3475,0.5148148148148148,705,400,False
model,0.91,0.8,3.5,0.2,score_point,0.0014184397163120568,2.6495000000000006,0.685,0.315,0.4781783681214422,705,400,False
model,0.91,0.9,3.5,0.2,score_point,0.0014184397163120568,2.681,0.685,0.315,0.4781783681214422,705,400,False
model,0.91,1.0,3.5,0.2,score_point,0.0014184397163120568,2.7125,0.685,0.315,0.4781783681214422,705,400,False
model,0.92,0.8,3.5,0.2,score_point,0.0014184397163120568,2.7439999999999998,0.72,0.28,0.4366471734892788,705,400,False
model,0.93,0.5,3.5,0.2,score_point,0.0014184397163120568,2.765,0.755,0.245,0.3927855711422846,705,400,False
model,0.92,0.9,3.5,0.2,score_point,0.0014184397163120568,2.772,0.72,0.28,0.4366471734892788,705,400,False
model,0.93,0.6,3.5,0.2,score_point,0.0014184397163120568,2.7895000000000003,0.755,0.245,0.3927855711422846,705,400,False
model,0.92,1.0,3.5,0.2,score_point,0.0014184397163120568,2.8,0.72,0.28,0.4366471734892788,705,400,False
model,0.93,0.7,3.5,0.2,score_point,0.0014184397163120568,2.8139999999999996,0.755,0.245,0.3927855711422846,705,400,False
model,0.93,0.8,3.5,0.2,score_point,0.0014184397163120568,2.8385000000000002,0.755,0.245,0.3927855711422846,705,400,False
model,0.93,0.9,3.5,0.2,score_point,0.0014184397163120568,2.8629999999999995,0.755,0.245,0.3927855711422846,705,400,False
model,0.93,1.0,3.5,0.2,score_point,0.0014184397163120568,2.8875,0.755,0.245,0.3927855711422846,705,400,False
model,0.94,0.5,3.5,0.2,score_point,0.0014184397163120568,2.8925,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.94,0.6,3.5,0.2,score_point,0.0014184397163120568,2.9127500000000004,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.94,0.7,3.5,0.2,score_point,0.0014184397163120568,2.9330000000000003,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.94,0.8,3.5,0.2,score_point,0.0014184397163120568,2.9532499999999997,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.94,0.9,3.5,0.2,score_point,0.0014184397163120568,2.9734999999999996,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.94,1.0,3.5,0.2,score_point,0.0014184397163120568,2.99375,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.95,0.4,3.5,0.2,score_point,0.0014184397163120568,3.0117499999999997,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,0.5,3.5,0.2,score_point,0.0014184397163120568,3.0275,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,0.6,3.5,0.2,score_point,0.0014184397163120568,3.0432500000000005,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,0.7,3.5,0.2,score_point,0.0014184397163120568,3.0589999999999997,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,0.8,3.5,0.2,score_point,0.0014184397163120568,3.0747500000000003,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,0.9,3.5,0.2,score_point,0.0014184397163120568,3.0904999999999996,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.95,1.0,3.5,0.2,score_point,0.0014184397163120568,3.10625,0.8425,0.1575,0.27155172413793105,705,400,False
model,0.96,0.2,3.5,0.2,score_point,0.0014184397163120568,3.1535,0.895,0.105,0.1896162528216704,705,400,False
model,0.96,0.3,3.5,0.2,score_point,0.0014184397163120568,3.1639999999999997,0.895,0.105,0.1896162528216704,705,400,False
model,0.96,0.4,3.5,0.2,score_point,0.0014184397163120568,3.1745,0.895,0.105,0.1896162528216704,705,400,False
model,0.96,0.5,3.5,0.2,score_point,0.0014184397163120568,3.185,0.895,0.105,0.1896162528216704,705,400,False
model,0.96,0.6,3.5,0.2,score_point,0.0014184397163120568,3.1955,0.895,0.105,0.1896162528216704,705,400,False
